work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,work_looking_for_job,profile_various_jobs,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,salary_inflation_policy,company_reduction_of_employees,company_recommended,tools_copilotchatgpt,vibe_coding,tools_ide_ia,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,company_max_interview,company_best_interview,profile_prefered_challenges,profile_hours_per_day,company_selection_process,salir_o_seguir_contestando_sobre_las_guardias1,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,profile_age,profile_gender,profile_previous_survey,company_best_companies,sueldo_dolarizado,work_seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,2000000.0,,,No,No recibo bono,Dos,30.0,Diciembre,3,Abono de celular,2,"No, pero escucho ofertas.",,Developer,6,20,5,0,"Docker, Linux, Windows Server",".NET, HTML, Java, Javascript, Python, SQL, TypeScript",React.js,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,No,No,8,5,Llegó para quedarse,Si,,Terminar encuesta,,,,,,,,,,,,,,,,41,Hombre Cis,Sí,,False,Senior,2500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3200000.0,,,No,comiciones de ventas,Dos,11.0,Diciembre,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado",2,"No, pero escucho ofertas.",,Manager / Director,15,4,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,por inflacion en Argentina,No,6,4,Hype,no,soy comercial,Terminar encuesta,,,,,,,,,,,,,,,,50,Hombre Cis,Sí,,False,Senior,4200000.0
Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2300000.0,,,No,No recibo bono,Uno,20.0,Agosto,2,Abono de celular,2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,25,8,8,2,"Linux, Microcontroladores, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,no,No,5,1,Vibequé?,no,,Terminar encuesta,,,,,,,,,,,,,,,,45,Hombre Cis,Sí,,False,Senior,2800000.0
Santa Fe,Full-Time,Staff (planta permanente),4100000.0,3400000.0,,,De uno a tres sueldos,Mix de las anteriores,Uno,6.0,Enero,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Licencia por nacimiento extendida",2,"No, pero escucho ofertas.",,QA / Tester,4,8,4,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Java, Javascript, Python, TypeScript","Bun, Node.js, React.js",ElasticSearch,"Postman, Selenium, Pytest locust browserstack",Más de 10000 personas,Híbrido (presencial y remoto),0,,Sí,8,3,Hype,Pycharm con amazon Q,,Responder sobre guardias,Terciario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Hasta 2,"HR, Técnica - Coding","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Neto,Responder sobre mis estudios,35,Hombre Cis,No,,False,Semi-Senior,4100000.0
Santa Fe,Full-Time,Staff (planta permanente),5500000.0,4000000.0,,,Un sueldo,Bancario,No,0.0,Enero,2,"Capacitaciones y/o cursos, Horarios flexibles, Guardería o pago para cubrir costo de guardería",3,"No, pero escucho ofertas.",,Technical Leader,12,10,4,5,"Docker, Kubernetes, Linux, Windows Server",".NET, C#, HTML, Javascript, SQL, VBA",".NET Core, Angular, Node.js","Microsoft SQL Server, MongoDB, MySQL, Redis",Postman,De 201 a 500 personas,100% remoto,0,,No,8,4,Llegó para quedarse,VS Code con Codex,,Terminar encuesta,,,,,,,,,,,,,,,,37,Hombre Cis,Sí,,False,Senior,5500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1765878.0,1600000.0,,,No,No recibo bono,Uno,15.0,Diciembre,2,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Club de beneficios , arcor , decuento bgh",2,"No, pero escucho ofertas.",,Analista de aseguramiento de aplicaciones,10,6,0,0,"Docker, Linux, VMWare, Windows Server","PHP, Python",Flask,"MariaDB, MongoDB, PostgreSQL, SQLite",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),3,Cambie justo hace 6 meses el puesto a del dia de hoy  como analista de aseguramiento de aplicaciones la cual estoy actualmente por fuera de convenio (anteriomente sec),No,6,4,Vibequé?,No,,Terminar encuesta,,,,,,,,,,,,,,,,35,Hombre Cis,Sí,,False,Senior,1765878.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3400000.0,2800000.0,,,No,No recibo bono,Uno,15.0,Noviembre,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,15,0,5,0,"Amazon Web Services, Kubernetes, Linux, Serverless, VMWare, Windows Server","Bash/Shell, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,Si,Sí,8,5,Vibequé?,No,Nada en particular,Responder sobre guardias,,,,,,,,,,,,"Sí, pasiva",10.0,Porcentaje de mi sueldo bruto,Terminar encuesta,37,Hombre Cis,Sí,Ni idea,False,Senior,3400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4508000.0,3600000.0,,,Menos de un sueldo,Performance de la compañía,Dos,22.0,Octubre,4,Abono de celular,4,"No, pero escucho ofertas.",,Manager / Director,40,5,5,12,"Amazon Web Services, Azure, Google Cloud Platform, IBM Cloud / Watson, Linux, OpenShift, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"IBM Db2, MariaDB, MySQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,"Si, dos ajuste, Junio y Octubre",No sé,10,5,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,60,Hombre Cis,Sí,,False,Senior,4508000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3382000.0,2800000.0,,,Un sueldo,Performance de la compañía,Dos,14.0,Diciembre,3,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online",2,"No, pero escucho ofertas.",,BI Analyst / Data Analyst,22,12,1,0,"Google Cloud Platform, Linux","Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, PostgreSQL",Visual Studio Coded UI,Más de 10000 personas,Híbrido (presencial y remoto),2,ajuste por inflación,Sí,7,4,Vibequé?,No,"Es muy difícil introducir nuevas tecnologías en el área en la que estoy, no pasa en toda la cía, ",Responder sobre mis estudios,Universitario,Completo,Licenciatura en Ciencias de la Computación,,Terminar encuesta,,,,,,,,,,,52,Hombre Cis,Sí,,False,Senior,3382000.0
Río Negro,Full-Time,Staff (planta permanente),4277206.0,3261658.0,,,Menos de un sueldo,Performance de la compañía,Dos,15.0,Agosto,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,10,4,4,4,"Docker, Kubernetes, Linux, VMWare","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, MongoDB, PostgreSQL",Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,,No,10,5,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,35,Hombre Cis,Sí,INVAP,False,Senior,4277206.0
Córdoba,Full-Time,Staff (planta permanente),4600000.0,3900000.0,,,Un sueldo,Performance individual,Uno,4.0,Enero,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Tengo dos trabajos full time,Infosec,11,0,8,4,Ninguna de las anteriores,Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,Por inflación,No sé,8,4,Llegó para quedarse,No,,Terminar encuesta,,,,,,,,,,,,,,,,39,Hombre Cis,Sí,No conozco el Cba una buena,False,Senior,4600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7500000.0,5500000.0,,,3+ sueldos,Mix de las anteriores,Más de tres,31.0,Diciembre,4,"Capacitaciones y/o cursos, Stock options / RSUs",4,"Sí, estoy buscando activamente.",,Developer,35,3,3,0,Ninguna de las anteriores,SQL,"SAP, SAP Hana","HANA, Oracle",Cucumber,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,Si. Ajustes x inflacion,No sé,10,2,Vibequé?,,"Si tw gusta lo corporativo, esta muy bien. Sino, es un infierno",Terminar encuesta,,,,,,,,,,,,,,,,53,Mujer Cis,Sí,,False,Senior,7500000.0
Santa Fe,Full-Time,Staff (planta permanente),2878258.53,2252310.0,,,No,No recibo bono,Más de tres,6.0,Diciembre,2,"Capacitaciones y/o cursos, Clases de idiomas",3,"No, pero escucho ofertas.",,Technical Leader,18,15,15,1,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Postman,De 11  a 50  personas,100% presencial,0,,No,8,5,Llegó para quedarse,Antigravity y VSCode,,Terminar encuesta,,,,,,,,,,,,,,,,37,Hombre Cis,Sí,,False,Senior,2878258.53
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3070000.0,2568641.0,,,No,No recibo bono,No,0.0,Enero,2,Abono de celular,2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,25,16,16,10,"*BSD, Linux, Windows Server, Proxmox","Javascript, PHP, SQL","Bootstrap, JavaScript ES6+, Bootstrap 5, Fetch API","MariaDB, Microsoft SQL Server, MySQL",Visual Studio Coded UI,De 201 a 500 personas,100% presencial,0,no,No sé,7,3,Llegó para quedarse,"Claude, Kimi, Qwen, Gemini, opencode",NO,Terminar encuesta,,,,,,,,,,,,,,,,48,Hombre Cis,Sí,No lo se,False,Senior,3070000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1087328.0,902482.0,,,Menos de un sueldo,Performance individual,Uno,4.0,Octubre,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",2,"No, pero escucho ofertas.",,Technical Support,1,1,1,0,"Azure, Windows Server",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),4,,No sé,8,3,Vibequé?,,,Responder sobre guardias,,,,,,,,,,,,"Sí, pasiva",0.0,Neto,Terminar encuesta,27,Mujer Cis,Sí,"Mercado Libre, JP Morgan, Accenture",False,Junior,1087328.0
Santa Fe,Full-Time,Staff (planta permanente),3900000.0,3600000.0,,,No,No recibo bono,Dos,8.0,Enero,3,Horarios flexibles,2,"No, pero escucho ofertas.",,Developer,6,3,4,0,"Amazon Web Services, Docker, Linux","Javascript, TypeScript","Node.js, React.js","MongoDB, PostgreSQL",Jest,De 101 a 200 personas,100% remoto,0,,Sí,5,3,Hype,Windsurf,,Terminar encuesta,,,,,,,,,,,,,,,,30,Hombre Cis,Sí,,False,Senior,3900000.0
Buenos Aires,Full-Time,Staff (planta permanente),4550000.0,3700000.0,,,No,No recibo bono,Dos,12.0,Enero,2,Abono de Internet,1,"No, pero escucho ofertas.",,Technical Leader,5,5,1,5,Amazon Web Services,"Java, Javascript","React.js, Spring",MySQL,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,Si. Un IPA que calcula la empresa ponderando IPC y una media de los contratos actualizados. Siempre da un par de puntos abajo del IPC. Van cambiando el cálculo según como venga el trimestre. No es transparente,Sí,0,5,Llegó para quedarse,Cursor,"Tienen un foco mal aplicado en IA, con gente que no sabe y quiere imponer rumbo",Responder sobre guardias,Universitario,En curso,Tecnicatura Superior en Programación,UNQ - Universidad Nacional de Quilmes,Responder sobre guardias,Hasta 2,"HR, Técnica - Diseño & Arquitectura","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre entrevistas técnicas,38,Mujer Cis,Sí,,False,Semi-Senior,4550000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6500000.0,4500000.0,,,3+ sueldos,Performance grupal,Uno,8.7,Enero,2,Abono de celular,1,"Sí, estoy buscando activamente.",,Data Scientist,8,0,5,0,oci,Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,solo una,Sí,4,5,Llegó para quedarse,windsurf,,Terminar encuesta,,,,,,,,,,,,,,,,46,Mujer Cis,Sí,,False,Senior,6500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8000000.0,6700000.0,,,No,No recibo bono,Uno,10.0,Octubre,2,"Abono de celular, Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado",3,"No, estoy muy conforme.",,Developer,30,19,19,1,"Azure, Firebase, VMWare, Windows Server",".NET, C#, HTML, Javascript, Python, SQL, VBA",".NET Core, Node.js, React.js, Vue.js","Microsoft SQL Server, MongoDB, SQLite",TFS,De 51 a 100 personas,100% presencial,5,Cada 6 meses x IPC,No,8,4,Vibequé?,No,,Terminar encuesta,,,,,,,,,,,,,,,,48,Hombre Cis,Sí,Ni idea,False,Senior,8000000.0
Buenos Aires,Full-Time,Freelance,2500000.0,2500000.0,,,No,No recibo bono,Uno,18.0,Julio,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Developer,15,10,10,0,"Azure, Docker, Windows Server",".NET, C#, HTML, Javascript, PHP, SQL, TypeScript",".NET Core, Bootstrap, Next.js, Node.js, React.js","Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,1 (solamente yo),100% remoto,0,,No,7,3,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,42,Hombre Cis,Sí,,False,Senior,2500000.0
Salta,Full-Time,Staff (planta permanente),1400000.0,1200000.0,,,No,No recibo bono,Uno,6.0,Noviembre,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,SysAdmin / DevOps / SRE,15,15,15,0,"Docker, Google Cloud Platform, Linux, VMWare","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Percona XtraBackup, Percona XtraDB Cluster, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,,No sé,0,5,Llegó para quedarse,,,Responder sobre guardias,Terciario,Completo,Ciberseguridad,UCASAL - Universidad Católica de Salta,Terminar encuesta,,,,,,,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,43,Hombre Cis,Sí,,False,Senior,1400000.0
Córdoba,Full-Time,Staff (planta permanente),4100000.0,3350000.0,,,No,No recibo bono,Uno,12.0,Noviembre,2,Abono de celular,2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,24,15,15,1,"Amazon Web Services, VMWare, Windows Server","COBOL, Kotlin, Python, VBA","Flask, Flutter","Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 101 a 200 personas,100% presencial,0,"Si, convenio UOM",No,0,3,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,42,Hombre Cis,Sí,,False,Senior,4100000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4912660.0,3942671.0,,,No,No recibo bono,Dos,7.0,Enero,3,Descuento en gimnasios / Clases de gimnasia online,3,"No, pero escucho ofertas.",,Developer,14,1,5,0,"Docker, Firebase",".NET, C#",.NET Core,"Microsoft SQL Server, PostgreSQL",Postman,De 101 a 200 personas,100% remoto,0,2,Sí,5,2,Llegó para quedarse,no,,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,Sí,,False,Senior,4912660.0
Santa Fe,Full-Time,Staff (planta permanente),4200000.0,3200000.0,,,No,No recibo bono,Tres,3.0,Diciembre,2,Clases de idiomas,2,"No, pero escucho ofertas.",,Technical Leader,7,5,1,7,"Azure, VMWare, Windows Server",".NET, C#, SQL",.NET Core,Oracle,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Empleados de Comercio,No,6,4,Llegó para quedarse,Visual Studio/vscode/Antigravity/Kiro,,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Informática,Universidad Siglo 21,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre guardias,No,0.0,Neto,Terminar encuesta,41,Hombre Cis,Sí,,False,Senior,4200000.0
Entre Ríos,Full-Time,Staff (planta permanente),2715350.0,2293741.0,,,No,No recibo bono,Uno,10.0,Octubre,2,Abono de Internet,2,"No, pero escucho ofertas.",,Developer,27,5,5,0,"Docker, IBM Cloud / Watson, Kubernetes, Linux","HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Node.js, React.js, Spring","Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis",Cypress,De 11  a 50  personas,100% remoto,0,por inflación,Sí,7,5,Llegó para quedarse,Windsurf,,Terminar encuesta,,,,,,,,,,,,,,,,49,Hombre Cis,Sí,,False,Senior,2715350.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3584000.0,3150000.0,,,Menos de un sueldo,Performance individual,Dos,10.0,Enero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",3,"No, pero escucho ofertas.",,Developer,7,2,2,0,Azure,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, jQuery","Microsoft SQL Server, Oracle","Postman, SoapUI",De 501 a 1000 personas,100% remoto,0,si,No,8,5,Llegó para quedarse,Visual Studio,,Responder sobre guardias,Posgrado/Especialización,En curso,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Terminar encuesta,,,,,,,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,50,Hombre Cis,Sí,Softtek,False,Senior,3584000.0
Buenos Aires,Full-Time,Staff (planta permanente),3400000.0,2800000.0,,,No,No recibo bono,Uno,5.0,Enero,3,Descuento en gimnasios / Clases de gimnasia online,3,"No, pero escucho ofertas.",,Finance,15,2,2,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),4,Ajuste por inflacion,Sí,7,3,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,46,Hombre Cis,No,,False,Senior,3400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,,,,No,No recibo bono,Dos,3.0,Enero,3,Capacitaciones y/o cursos,3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,8,5,5,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Go, Python",Ninguno de los anteriores,"Amazon DynamoDB, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,8,5,Hype,cursor / kiro,,Terminar encuesta,,,,,,,,,,,,,,,,38,Hombre Cis,Sí,,False,Senior,4000000.0
Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,1900000.0,,,No,No recibo bono,Uno,15.0,Septiembre,2,"Abono de Internet, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,Developer,4,3,2,3,"Amazon Web Services, Docker, Linux","HTML, Javascript, Python, SQL, TypeScript","Bootstrap, Next.js, Node.js, React.js","MariaDB, MySQL, PostgreSQL","Postman, Selenium",De 51 a 100 personas,100% remoto,0,,Sí,8,4,Llegó para quedarse,Antigravity,,Terminar encuesta,,,,,,,,,,,,,,,,30,Hombre Cis,Sí,,False,Semi-Senior,2100000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,1400000.0,,No,No,No recibo bono,No,0.0,Enero,2,"Horarios flexibles, Ninguna de las anteriores",2,"Sí, estoy buscando activamente.",,Business Analyst,5,5,3,0,Linux,SQL,Ninguno de los anteriores,PostgreSQL,Postman,De 51 a 100 personas,Híbrido (presencial y remoto),2,No,No,0,5,Vibequé?,Si,No,Terminar encuesta,,,,,,,,,,,,,,,,38,Mujer Cis,No,,False,Semi-Senior,1600000.0
Neuquén,Full-Time,Staff (planta permanente),5031375.0,4051365.0,,,De uno a tres sueldos,Performance de la compañia y otro individual,Dos,10.0,Enero,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Lactario en la oficina, Licencia por nacimiento extendida",2,"Sí, estoy buscando activamente.",,IT Site Analyst,12,3,3,0,"Azure, SAP, VMWare, Windows Server",ninguna,ninguna,ninguna,ninguna,Más de 10000 personas,Híbrido (presencial y remoto),4,Se realizan ajuste por mercado e inflacion. Normalmente fuera de tiempo y a nivel impacto de bolsillo considero estar desfasada negativamente.,No,3,4,Llegó para quedarse,NO,Poco crecimiento y poca formacion para el personal. Haciendo que la gente quede en el mismo puesto eternamente,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Administración,Universidad Siglo 21,Terminar encuesta,,,,,,,"Sí, pasiva",0.0,Bruto,Responder sobre mis estudios,32,Hombre Cis,Sí,Descoonozco,False,Senior,5031375.0
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,3000000.0,2800000.0,,,No,No recibo bono,Más de tres,28.0,Enero,3,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,Manager / Director,25,3,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Facturo con ajuste ipc,No,0,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,42,Mujer Cis,No,Meli,False,Senior,3000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000.0,,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,1.0,Noviembre,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas",2,"Sí, estoy buscando activamente.",,Infosec,25,2,2,0,"Linux, VMWare, Windows Server","Bash/Shell, Python, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,NO,Sí,5,2,Hype,No,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Telecomunicaciones,,Terminar encuesta,,,,,,,,,,,50,Hombre Cis,Sí,,False,Senior,5000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2300000.0,,,Un sueldo,Performance de la compañía,Uno,3.0,Septiembre,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,Product Owner,5,0,0,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,Si trimestral,No,8,4,Hype,,,Responder sobre mis estudios,Universitario,Completo,Licenciatura en tecnologías digitales,,Terminar encuesta,,,,,,,,,,,32,Mujer Cis,Sí,,False,Semi-Senior,2800000.0
Santa Fe,Full-Time,Staff (planta permanente),2400000.0,2070000.0,,,No,No recibo bono,Uno,9.0,Noviembre,2,Comidas pagas / subvencionadas,2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,5,3,3,0,"Amazon Web Services, Azure, Docker, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,,Sí,4,3,Hype,,,Responder sobre guardias,,,,,,,,,,,,No,0.0,Neto,Terminar encuesta,27,Hombre Cis,Sí,,False,Semi-Senior,2400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,2100000.0,2100000.0,,,No,No recibo bono,Más de tres,13.0,Diciembre,3,Abono de celular,2,"No, pero escucho ofertas.",,Developer,15,15,6,0,Windows Server,".NET, C#, Javascript, SQL, VBA",".NET Core, jQuery",Microsoft SQL Server,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No,8,5,Llegó para quedarse,Visual Studio con Copilot para dudas. Claude Code para vibe code,,Terminar encuesta,,,,,,,,,,,,,,,,37,Hombre Cis,Sí,,False,Senior,2100000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,2300000.0,,,Menos de un sueldo,Performance de la compañía,No,0.0,Julio,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,UX Researcher,4,4,1,0,Google Cloud Platform,"HTML, SQL",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,,Sí,8,4,Vibequé?,,,Responder sobre mis estudios,Universitario,En curso,Licenciatura en ciencias antropologicas,UBA - Universidad de Buenos Aires,Terminar encuesta,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Sincrónicos, prefiero el desafío en tiempo real",Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre guardias,No,0.0,Bruto,Responder sobre mis estudios,26,Mujer Cis,Sí,,False,Semi-Senior,2700000.0
Neuquén,Full-Time,Staff (planta permanente),2400000.0,3000000.0,,,Menos de un sueldo,Por puesto,Tres,9.7,Diciembre,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,7,7,2,4,"Linux, Windows Server",Python,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server",Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,,No sé,4,3,Hype,No,,Terminar encuesta,,,,,,,,,,,,,,,,33,Hombre Cis,No,Ninguna,False,Senior,2400000.0
