work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,numero,salary_in_usd,salary_last_dollar_value,salary_pay_cripto,salary_%_cripto,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_boot_camp,profile_boot_camp_carrer,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,profile_age,profile_gender
Argentina,Chaco,Full-Time,Staff (planta permanente),220000.0,183000.0,TRUE,,,,,Menos de un sueldo,Mix de las anteriores,Dos,30,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,BI Analyst / Data Analyst,0.0,0.0,0.0,0.0,"Amazon Web Services, Docker, Linux","Bash/Shell, Python, SQL",Serverless framework,"Amazon Redshift, MySQL, PostgreSQL","Postman, Pytest",De 51 a 100 personas,100% remoto,0,8,,,,,,,,,,43,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),231000.0,190000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos",3,Developer,15.0,0.0,0.0,0.0,Ninguna de las anteriores,GENEXUS,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,8,Universitario,En curso,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,,,No,0.0,Porcentaje de mi sueldo bruto,37,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),154000.0,140000.0,TRUE,Mi sueldo está dolarizado (pero cobro en moneda local),,,,No,No recibo bono,Más de tres,0,Junio,1,Ninguna de las anteriores,1,Developer,25.0,20.0,18.0,0.0,Windows Server,".NET, C#, Kotlin, SQL",.NET Core,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,0,,,,,,,,,,48,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),203000.0,178000.0,TRUE,,,,,3+ sueldos,Performance grupal,Dos,50,Julio,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,Business Analyst,10.0,2.0,7.0,0.0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,7,,,,,,,,,,34,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),193000.0,163000.0,TRUE,,,,,Menos de un sueldo,Performance grupal,Uno,17,Julio,3,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Business Analyst,1.0,1.0,1.0,0.0,"AIX, Azure, IBM Cloud / Watson, SAP, VMWare, Windows Server",".NET, C#, CSS, HTML, Python, SQL, VBA",".NET Core, Bootstrap, Django, jQuery, SAP","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),3,8,,,,,,,,,,31,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),195000.0,190000.0,TRUE,,,,,Menos de un sueldo,Performance de la compañía,Dos,45,Julio,3,"Abono de celular, Clases de idiomas, Horarios flexibles",2,Developer,4.0,2.0,2.0,0.0,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap",SQLite,Ninguna de las anteriores,De 2 a 10 personas,100% presencial,5,6,,,,,,,,,,30,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),450000.0,380000.0,TRUE,Mi sueldo está dolarizado (pero cobro en moneda local),128,,0,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,Developer,10.0,0.0,5.0,0.0,"Azure, Kubernetes",".NET, C#, HTML, Javascript, TypeScript",".NET Core, Angular, Node.js","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Karma,1 (solamente yo),100% remoto,0,8,,,,,,,,,,36,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),256200.0,212146.0,TRUE,Cobro parte del salario en dólares,104.5,,0,Menos de un sueldo,ajuste de cotización,Más de tres,5,Mayo,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,10.0,3.0,3.0,0.0,"Amazon Web Services, Docker, Linux","HTML, Javascript, PHP, Python, SQL",React.js,"MySQL, Redis","PHPUnit, Postman",De 51 a 100 personas,Híbrido (presencial y remoto),1,7,,,,,,,,,,40,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),180852.0,155486.0,TRUE,,,,,No,No recibo bono,Dos,59,Julio,3,"Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",4,Developer,10.0,1.0,1.0,0.0,Ninguna de las anteriores,".NET, C#",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,10,,,,,,,,,,40,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),243000.0,198000.0,TRUE,,,,0,Menos de un sueldo,Performance individual,No,0,No tuve,1,"Lactario en la oficina, Licencia por nacimiento extendida",1,Developer,3.0,3.0,1.0,0.0,"Linux, VMWare, Windows Server","SQL, Genexus",Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),4,6,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Bruto,33,Varón Cis
